Title,Company,Location,Experience,Description,Apply Link,Tags,Posted
Data Engineer,Coditas Technologies,Pune,2-6 Yrs,Minimum 2 years of progressive experience building solutions in Big Data environments,https://www.naukri.com/job-listings-data-engineer-coditas-technologies-pune-2-to-6-years-210525024340,"Pyspark, Azure Cloud, AWS, Python, SQL, Data Warehousing, Warehouse, Microsoft Azure",1 week ago
Data Engineer,Accenture,Indore,3-8 Yrs,. Educational Qualification : 15 years full time education . Must have skills : Databri...,https://www.naukri.com/job-listings-data-engineer-accenture-solutions-pvt-ltd-indore-3-to-8-years-270625918599,"data analytics, database design, data modeling, design principles, etl, hive, python, data warehousing",1 week ago
Big Data Engineer,Impetus Technologies,"Pune, Gurugram, Bengaluru",3-8 Yrs,Good understanding of SQL and data warehouse tools like (Redshift) Experience in migrat...,https://www.naukri.com/job-listings-big-data-engineer-impetus-technologies-pune-gurugram-bengaluru-3-to-8-years-230625021442,"Pyspark, Big Data, Data Warehousing, Python, SQL, Hive, ETL, AWS",1 week ago
Data Engineer-Data Platforms-AWS,IBM,Pune,2-6 Yrs,"As a Data Engineer at IBM, you'll play a vital role in the development, design of appl...",https://www.naukri.com/job-listings-data-engineer-data-platforms-aws-ibm-india-pvt-limited-pune-2-to-6-years-270625919844,"amazon redshift, dynamo db, aws lambda, aws glue, aws, hive, glue, pyspark",1 week ago
Senior Machine Learning Engineer - NLP/Python,Maimsd Technology,"Pune, Bengaluru",4-7 Yrs,"Employment Type : Full Time, Permanent.",https://www.naukri.com/job-listings-senior-machine-learning-engineer-nlp-python-maimsd-technology-pune-bengaluru-4-to-7-years-260625911198,"Machine Learning, Data Science, Tensorflow, Azure, NLP, Data Scientist, AWS, Python",1 week ago
Python Data Engineer,TOP MNC,"Hybrid - Pune, Hyderabad, Bengaluru",4-9 Yrs,"Dear Candidate, Interested candidates : Please share your updated resume along with Pho...",https://www.naukri.com/job-listings-python-data-engineer-first-meridian-business-services-hyderabad-pune-bengaluru-4-to-9-years-260625022702,"Pyspark, Glue, AWS, Python, S3, Airflow, Api Gateway, Lamda",1 week ago
Python Data Engineer,Big 4 Companies,"Hybrid - Pune, Hyderabad, Bengaluru",4-9 Yrs,"Dear Candidate, Interested candidates : Please share your updated resume along with Pho...",https://www.naukri.com/job-listings-python-data-engineer-first-meridian-business-services-hyderabad-pune-bengaluru-4-to-9-years-230625003050,"Pyspark, Glue, AWS, Python, S3, Airflow, Api Gateway, Lamda",1 week ago
Data Engineer - PostgreSQL,Prudent Globaltech Solutions,Hyderabad,1-3 Yrs,"Bachelors degree in Computer Science, Information Systems, or related fieldProven exper...",https://www.naukri.com/job-listings-data-engineer-postgresql-prudent-globaltech-solutions-private-limited-hyderabad-1-to-3-years-030725914334,"continuous integration, sql, postgresql, python, transaction management, amazon redshift, ci/cd, data warehousing",2 days ago
Python AWS Data Engineer -Genpact- Bangalore,Genpact,Hybrid - Bengaluru,9-14 Yrs,"BE / B Tech / MCA Minimum Qualifications Preferred Qualifications/ Skills Python, SQL, ...",https://www.naukri.com/job-listings-python-aws-data-engineer-genpact-bangalore-genpact-bengaluru-9-to-14-years-020725027642,"Spark, AWS, Python, Pyspark, Data",3 days ago
Devops Engineer,Web Minds It Solution,"Pune, Hyderabad, Bengaluru",4-9 Yrs,"Bachelors degree in Computer Science, IT, or related field (required). . Master s degre...",https://www.naukri.com/job-listings-devops-engineer-web-minds-it-solution-hyderabad-pune-bengaluru-4-to-9-years-160625018008,"Ci/Cd, Devops, AWS, Azure, Infrastructure as Code, Github Actions, Prometheus, Grafana",2 weeks ago
Senior Machine Learning Engineer - NLP / Python,Maimsd Technology,"Pune, Bengaluru",4-7 Yrs,Notice Period : Immediate - 15 DaysAbout the Role :We are seeking a highly skilled Seni...,https://www.naukri.com/job-listings-senior-machine-learning-engineer-nlp-python-maimsd-technology-pune-bengaluru-4-to-7-years-130625916102,"Machine Learning, Data Science, Azure, NLP, PyTorch, GCP, MySQL, Postgres",3 weeks ago
Data Engineer,RK Hr Management,Ahmedabad,3-5 Yrs,"Strong experience with cloud services within Azure, AWS, or GCP platforms (preferably A...",https://www.naukri.com/job-listings-data-engineer-rk-hr-management-ahmedabad-3-to-5-years-280425021043,"Data Engineering, OOPS, SQL, Python, Etl Pipelines, Aws Cloud, Bigquery, Ci/Cd",2 weeks ago
Cloud Engineer | SRE | Python | AWS | Azure | CI/CD | EKS,Cisco,Bengaluru,8-13 Yrs,"What you will do:Design, implement, and maintain observability solutions (logging, moni...",https://www.naukri.com/job-listings-cloud-engineer-sre-python-aws-azure-ci-cd-eks-cisco-systems-india-private-limited-bengaluru-8-to-13-years-120625922477,"Cloud Engineering, Azure, CloudFormation, Prometheus, Bash, Datadog, Grafana, ELK Stack",3 weeks ago
Platform Engineer - Remote,Damco Solutions,"Hyderabad, Gurugram",4-9 Yrs,Role - Platform Engineer Location: Hyderabad / Gurgaon / Remote/ Hybrid Shift: EMEA (11...,https://www.naukri.com/job-listings-platform-engineer-remote-damco-solutions-hyderabad-gurugram-4-to-9-years-030725020149,"Platform engineer, Infrastructure Architecture, Golang, Java, Azure, Platform Architecture, Go, Ci/Cd",2 days ago
Python Developer,Skynet Technologies,Ahmedabad,3-8 Yrs,. Optimize applications for maximum speed and scalabilityParticipate in code reviews an...,https://www.naukri.com/job-listings-python-developer-skynet-technologies-ahmedabad-3-to-8-years-240625504130,"Computer science, Version control, GIT, Postgresql, Django, MySQL, Javascript, HTML",1 week ago
Python Developer (With AWS Expertise),Xoriant,"Hybrid - Pune, Chennai",5-10 Yrs,Job Title: Python DeveloperDuration: Full time roleLocation: Pune/Chennai (Hybrid)Note:...,https://www.naukri.com/job-listings-python-developer-with-aws-expertise-xoriant-pune-chennai-5-to-10-years-130625025450,"python, Aws, django, restful, Git, GCP, pyspark, flask",3 weeks ago
Cloud Platform Engineer,Accenture,Indore,3-8 Yrs,. Must have skills : Microsoft Exchange Unified Messaging Skills: Experience with Micro...,https://www.naukri.com/job-listings-cloud-platform-engineer-accenture-solutions-pvt-ltd-indore-3-to-8-years-120625926101,"technical support, troubleshooting, cloud infrastructure, unified messaging, software engineering, kubernetes, python, cloud security",3 weeks ago
Senior Back-End Python Engineer,Turing Global India,Remote,3-7 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...",https://www.naukri.com/job-listings-senior-back-end-python-engineer-turing-remote-3-to-7-years-140125509952,"Backend, Purchase, GIT, Architecture, Scalability, GCP, AWS, Python",3+ weeks ago
Back-End Developer,Turing Global India,Remote,4-8 Yrs,"Take care of updating the current app, which was created in Ember.js, and intend to re...",https://www.naukri.com/job-listings-back-end-developer-turing-remote-4-to-8-years-140125504724,"Backend, GIT, Linux, GCP, Ruby, AWS, Monitoring, Python",3+ weeks ago
Cloud Platform Engineer,Accenture,Indore,3-8 Yrs,. Must have skills : Microsoft Exchange Unified Messaging Skills: Experience with Micro...,https://www.naukri.com/job-listings-cloud-platform-engineer-accenture-solutions-pvt-ltd-indore-3-to-8-years-120625925561,"technical support, troubleshooting, cloud infrastructure, unified messaging, software engineering, kubernetes, python, cloud security",3 weeks ago
AWS Python Data Engineer - Manager - Virtual Interview-28th June,EY,"Pune, Chennai, Bengaluru",9-14 Yrs,"Hi, Urgent opening for AWS Python Data Engineer-Manager with EY GDS at Pan India Locati...",https://www.naukri.com/job-listings-aws-python-data-engineer-manager-virtual-interview-28th-june-ey-pune-chennai-bengaluru-9-to-14-years-210625015717,"RestApi, AWS, Numpy, Python, Flask, Azure, Pandas, Machine Learning models",2 weeks ago
