Title,Company,Location,Experience,Description,Apply Link,Tags,Posted
Python Software Developer,Softcell Technologies,"Thane, Navi Mumbai, Mumbai (All Areas)",3-7 Yrs,"Education : Bachelors degree in Computer Science, Engineering, or a related field. Expe...",https://www.naukri.com/job-listings-python-software-developer-softcell-technologies-thane-navi-mumbai-mumbai-all-areas-3-to-7-years-310525014878,"SQL, NoSQL, Selenium, Regular Expressions, Problem Solving Skills, Scrapy, Numpy, Rabbitmq",2 days ago
Developer AI Center of Excellence,IBM,Bengaluru,2-7 Yrs,2+ years of relevant industry experience. Proficiency in Python and experience in devel...,https://www.naukri.com/job-listings-developer-ai-center-of-excellence-ibm-india-pvt-limited-bengaluru-2-to-7-years-040725929434,"python, machine learning, deep learning, tensorflow, pytorch, image processing, natural language processing, scikit-learn",1 day ago
Python Software Developer,Macmillan Publishers India Pvt Ltd.,Noida,4-7 Yrs,"Bachelors degree in Computer Science, Engineering, or related field (or equivalent work...",https://www.naukri.com/job-listings-python-software-developer-macmillan-publishers-india-pvt-ltd-noida-4-to-7-years-030725017274,"Django, Python, GIT, Docker, Pandas, Flask, Software, Software development",2 days ago
Python Developer,Luxoft,Pune,4-9 Yrs,Project description We are looking for an experienced technical developer to work for o...,https://www.naukri.com/job-listings-python-developer-luxoft-india-llp-pune-4-to-9-years-120625933924,"rest, python, pandas, django, flask, kubernetes, openshift, orm libraries",3 weeks ago
Python Developer,Wipro,Hyderabad,2-6 Yrs,The purpose of this role is to develop minimum viable product (MVP) and comprehensive A...,https://www.naukri.com/job-listings-python-developer-wipro-limited-hyderabad-2-to-6-years-250625930457,"sql, python, python development, django framework, flask, css, django rest api, numpy",1 week ago
Python Developer,Abym Technology,Noida,3-8 Yrs,AbyM Technology is looking for Python Developer to join our dynamic team and embark on ...,https://www.naukri.com/job-listings-python-developer-abym-technology-noida-3-to-8-years-300625501950,"python, css, c, software testing, natural language processing, python development, machine learning, artificial intelligence",5 days ago
Python Developer,Diverse Lynx,Bengaluru,2-7 Yrs,Diverse Lynx is looking for Python Developer to join our dynamic team and embark on a r...,https://www.naukri.com/job-listings-python-developer-diverse-lynx-bengaluru-2-to-7-years-280625501175,"python, css, c, software testing, natural language processing, python development, machine learning, artificial intelligence",1 week ago
Python Developer,Diverse Lynx,Chennai,2-7 Yrs,Diverse Lynx is looking for Python Developer to join our dynamic team and embark on a r...,https://www.naukri.com/job-listings-python-developer-diverse-lynx-chennai-2-to-7-years-280625501174,"python, css, c, software testing, natural language processing, python development, machine learning, artificial intelligence",1 week ago
Python Developer,Igeektech,Surat,1-3 Yrs,iGeek is looking for Python Developer to join our dynamic team and embark on a rewardin...,https://www.naukri.com/job-listings-python-developer-igeek-surat-1-to-3-years-280625500415,"python, css, c, software testing, natural language processing, python development, machine learning, artificial intelligence",1 week ago
Python Developer,GLOINNT,Bengaluru,4-7 Yrs,GLOINNT is looking for Python Developer to join our dynamic team and embark on a reward...,https://www.naukri.com/job-listings-python-developer-gloinnt-bengaluru-4-to-7-years-010725502920,"python, css, c, software testing, natural language processing, python development, machine learning, artificial intelligence",4 days ago
Senior Python Developer,Web Minds It Solution,"Pune, Hyderabad, Bengaluru",4-9 Yrs,Location: Pune. Job Type: Full Time. The ideal candidate will possess a strong command ...,https://www.naukri.com/job-listings-senior-python-developer-web-minds-it-solution-hyderabad-pune-bengaluru-4-to-9-years-160625015061,"Ci/Cd, Machine Learning, Python, Deep Learning, Django, Tensorflow, Python Framework, Cloud Platforms",2 weeks ago
Machine Learning Engineer,Arealis Networks Pvt. Ltd.,Pune(Sadashiv Peth),2-6 Yrs,"As Lead ML Engineer, you'll lead the development of predictive models for demand forec...",https://www.naukri.com/job-listings-machine-learning-engineer-arealis-networks-pvt-ltd-pune-2-to-6-years-180625020750,"Scikit-Learn, Tensorflow, Data Engineering, Aws Cloud, Lstm, Machine Learning, Deep Learning, Data Bricks",2 weeks ago
Python Developer,Leading Client,Mumbai,4-6 Yrs,"Develop and maintain applications using Python, focusing on building scalable, efficien...",https://www.naukri.com/job-listings-python-developer-teamware-solutions-a-division-of-quantum-leap-co-nsulting-private-ltd-mumbai-4-to-6-years-260625938801,"python, data analysis, python development, django, web development, css, natural language processing, numpy",1 week ago
Python Developer,Leading Client,"India, India",4-5 Yrs,"Design and develop software applications using Python, focusing on backend services, da...",https://www.naukri.com/job-listings-python-developer-teamware-solutions-a-division-of-quantum-leap-co-nsulting-private-ltd-india-india-4-to-5-years-260625938719,"python, data processing, python development, django, flask, css, c, natural language processing",1 week ago
Python Developer,Triad Square Infotec,"Hyderabad, Chennai, Bengaluru",3-5 Yrs,Triad Square Infotec Pvt Ltd is looking for Python Developer to join our dynamic team a...,https://www.naukri.com/job-listings-python-developer-triad-square-infotec-pvt-ltd-hyderabad-chennai-bengaluru-3-to-5-years-270625500182,"python, css, software testing, natural language processing, python development, machine learning, artificial intelligence, javascript",1 week ago
Python Developer,Diverse Lynx,Hyderabad,4-6 Yrs,Diverse Lynx is looking for Python Developer to join our dynamic team and embark on a r...,https://www.naukri.com/job-listings-python-developer-diverse-lynx-hyderabad-4-to-6-years-240625503173,"python, css, c, software testing, natural language processing, python development, machine learning, artificial intelligence",1 week ago
Python Developer,Diverse Lynx,Bengaluru,4-6 Yrs,Diverse Lynx is looking for Python Developer to join our dynamic team and embark on a r...,https://www.naukri.com/job-listings-python-developer-diverse-lynx-bengaluru-4-to-6-years-240625503172,"python, css, c, software testing, natural language processing, python development, machine learning, artificial intelligence",1 week ago
Python Developer,Leading Client,India,4-5 Yrs,"Design and implement Python-based applications, focusing on system automation, data pro...",https://www.naukri.com/job-listings-python-developer-teamware-solutions-a-division-of-quantum-leap-co-nsulting-private-ltd-india-4-to-5-years-260625939645,"python, data processing, python development, django, web development, css, c, natural language processing",1 week ago
Python Developer,Comvision,"Pune, Navi Mumbai, Gurugram",5-8 Yrs,ualifications . Bachelors or Masters degree in Computer Science or related field The id...,https://www.naukri.com/job-listings-python-developer-comvision-india-pvt-ltd-navi-mumbai-pune-gurugram-5-to-8-years-250625017315,"python developer, rest api, numpy panda, Mongo db, redis, SQL, Rabbit mq, django",1 week ago
