id,match_id,content,bowler,batsman,over,ball,lemmatized,ball_type,shot_type,region
2930000000,128748,"FOUR! A bit width on offer, begging to be hit! Length ball, wide outside off, Yashasvi Jaiswal just leans across halfway and smacks the drive through covers to pick up a boundary.",Josh Tongue,Yashasvi Jaiswal,15,1,"four ! a bit width on offer , begging to be hit ! length ball , wide outside off , yashasvi jaiswal just lean across halfway and smack the drive through cover to pick up a boundary .",[],['drive'],['cover']
2900000000,128748,"Back of a length and around off, Karun Nair moves across a bit and pats it down beside the pitch on the off side.",Ben Stokes,Karun Nair,14,6,"back of a length and around off , karun nair move across a bit and pat it down beside the pitch on the off side .",['back of a length'],[],[]
2870000000,128748,"A bit fuller and around off, Nair comes forward and shows the full face of the bat to block it off.",Ben Stokes,Karun Nair,14,5,"a bit fuller and around off , nair come forward and show the full face of the bat to block it off .","['fuller', 'full']",[],[]
2830000000,128748,"BEAUTY! Hard length and over off, seams away after pitching, Karun Nair is drawn forward into his defence but gets beaten on the outside edge.",Ben Stokes,Karun Nair,14,4,"beauty ! hard length and over off , seam away after pitching , karun nair is drawn forward into his defence but get beaten on the outside edge .",[],[],[]
2800000000,128748,"Nagging length, on middle, Nair drops it down back to the right of the bowler.",Ben Stokes,Karun Nair,14,3,"nagging length , on middle , nair drop it down back to the right of the bowler .",[],[],[]
2780000000,128748,"FOUR! Top shot! Fuller but on the pads, Karun Nair plants his front leg forward and uses his wrists to flick it through the gap between mid-wicket and mid on. Both fielders give a chase but the ball wins the race in the end.",Ben Stokes,Karun Nair,14,2,"four ! top shot ! fuller but on the pad , karun nair plant his front leg forward and us his wrist to flick it through the gap between mid-wicket and mid on . both fielder give a chase but the ball win the race in the end .",['fuller'],['flick'],['mid on']
2750000000,128748,"Starts off with a low full toss, around off, Yashasvi Jaiswal cashes on it as he drills it through covers. Shoaib Bashir gives it a chase and cuts it off with a slide. Three runs taken.",Ben Stokes,Yashasvi Jaiswal,14,1,"start off with a low full toss , around off , yashasvi jaiswal cash on it a he drill it through cover . shoaib bashir give it a chase and cut it off with a slide . three run taken .","['full toss', 'full']",['cut'],['cover']
2720000000,128748,"This is lovely bowling from Josh! That in-between length and outside off, gets to shape away, Karun Nair looks to play out at first but seeing it is well outside off, decides to sway away from it in the end.",Josh Tongue,Karun Nair,13,6,"this is lovely bowling from josh ! that in-between length and outside off , get to shape away , karun nair look to play out at first but seeing it is well outside off , decides to sway away from it in the end .",[],[],[]
2690000000,128748,"Hard length and around off, Nair defends it towards cover this time.",Josh Tongue,Karun Nair,13,5,"hard length and around off , nair defends it towards cover this time .",[],[],['cover']
2670000000,128748,"Oh, beaten! Hard length and around the fourth stump, threatens to come in but the ball moves away after pitching, Karun Nair presses back and looks to defend but gets beaten on the outside edge.",Josh Tongue,Karun Nair,13,4,"oh , beaten ! hard length and around the fourth stump , threatens to come in but the ball move away after pitching , karun nair press back and look to defend but get beaten on the outside edge .",[],[],[]
